name,season,time,power_kW
Single Unit,Annual,1,0.18
Single Unit,Annual,2,0.19
Single Unit,Annual,3,0.21
Single Unit,Annual,4,0.22
Single Unit,Annual,5,0.23
Single Unit,Annual,6,0.23
Single Unit,Annual,7,0.23
Single Unit,Annual,8,0.24
Single Unit,Annual,9,0.25
Single Unit,Annual,10,0.27
Single Unit,Annual,11,0.30
Single Unit,Annual,12,0.34
Single Unit,Annual,13,0.38
Single Unit,Annual,14,0.43
Single Unit,Annual,15,0.48
Single Unit,Annual,16,0.48
Single Unit,Annual,17,0.49
Single Unit,Annual,18,0.48
Single Unit,Annual,19,0.47
Single Unit,Annual,20,0.46
Single Unit,Annual,21,0.46
Single Unit,Annual,22,0.46
Single Unit,Annual,23,0.45
Single Unit,Annual,24,0.45
Single Unit,Annual,25,0.45
Single Unit,Annual,26,0.45
Single Unit,Annual,27,0.45
Single Unit,Annual,28,0.46
Single Unit,Annual,29,0.46
Single Unit,Annual,30,0.48
Single Unit,Annual,31,0.49
Single Unit,Annual,32,0.53
Single Unit,Annual,33,0.57
Single Unit,Annual,34,0.63
Single Unit,Annual,35,0.69
Single Unit,Annual,36,0.72
Single Unit,Annual,37,0.76
Single Unit,Annual,38,0.75
Single Unit,Annual,39,0.74
Single Unit,Annual,40,0.71
Single Unit,Annual,41,0.68
Single Unit,Annual,42,0.64
Single Unit,Annual,43,0.60
Single Unit,Annual,44,0.55
Single Unit,Annual,45,0.50
Single Unit,Annual,46,0.41
Single Unit,Annual,47,0.32
Single Unit,Annual,48,0.25
